article_id,candidate_id,order,source_witness_id,source_pdf_page,source_printed_page,source_ocr_line_start,source_ocr_line_end,headword_es_ocr,cora_ocr,raw_span_ocr,separator_type,page_alignment_status,extraction_confidence,machine_status,machine_rationale,authority_status,release_eligible,human_verified
ORT1888-art-000022,ORT1888-cand-000022,22,ORTEGA1888-TEPIC-IA,20,16,595,596,Abertura de lo serrado,A.ntáruneat.,Abertura de lo serrado. — A.ntáruneat.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000023,ORT1888-cand-000023,23,ORTEGA1888-TEPIC-IA,20,16,597,598,Abertura de la tierra,Aca.ihrliihuatéme.,Abertura de la tierra. — Aca.ihrliihuatéme.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000024,ORT1888-cand-000024,24,ORTEGA1888-TEPIC-IA,20,16,599,600,"Abismo, agua profunda",Ateat>v/.,"Abismo, agua profunda. — Ateat>v/.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000025,ORT1888-cand-000025,25,ORTEGA1888-TEPIC-IA,20,16,601,602,"Abismo, cosa profunda y baja",Vhniuéye.,"Abismo, cosa profunda y baja. — Vhniuéye.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000026,ORT1888-cand-000026,26,ORTEGA1888-TEPIC-IA,20,16,603,604,Abispa que hace su casa de iodo,UMiuái. pl. tzi.,Abispa que hace su casa de iodo. — UMiuái. pl. tzi.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000027,ORT1888-cand-000027,27,ORTEGA1888-TEPIC-IA,20,16,605,606,Abispa grande y ponzoñosa,A^//\acat. pl. t/i.,Abispa grande y ponzoñosa. — A^//\acat. pl. t/i.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000028,ORT1888-cand-000028,28,ORTEGA1888-TEPIC-IA,20,16,607,608,Abivar á otro,Tuca. Neti.,Abivar á otro. — Tuca. Neti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000029,ORT1888-cand-000029,29,ORTEGA1888-TEPIC-IA,20,16,609,610,Ablandar Jo que está duro como barro,Putna. Neti.,Ablandar Jo que está duro como barro. -Putna. Neti.,hyphen_variant,matched_headword,medium,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000030,ORT1888-cand-000030,30,ORTEGA1888-TEPIC-IA,20,16,611,612,Ablandar el corazón,Vcácnane. N.,Ablandar el corazón. — Vcácnane. N.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000031,ORT1888-cand-000031,31,ORTEGA1888-TEPIC-IA,20,16,613,614,Abofetear,Vitebéchexe. Neti.,Abofetear. — Vitebéchexe. Neti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000032,ORT1888-cand-000032,32,ORTEGA1888-TEPIC-IA,20,16,615,616,Aboreteador,Tibeite becheme pl. tzi.,Aboreteador. — Tibeite becheme pl. tzi.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000033,ORT1888-cand-000033,33,ORTEGA1888-TEPIC-IA,20,16,617,618,Abogar por otro,Muecube. Netiucube.,Abogar por otro. — Muecube. Netiucube.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000034,ORT1888-cand-000034,34,ORTEGA1888-TEPIC-IA,20,16,619,620,Abogada,Cubihat.,Abogada. — Cubihat.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000035,ORT1888-cand-000035,35,ORTEGA1888-TEPIC-IA,20,16,621,622,Abogado,Hucabihuáme. pl. tzi.,Abogado. — Hucabihuáme. pl. tzi.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000036,ORT1888-cand-000036,36,ORTEGA1888-TEPIC-IA,20,16,623,624,Abollar,Teáutze. Nete.,Abollar. — Teáutze. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000037,ORT1888-cand-000037,37,ORTEGA1888-TEPIC-IA,20,16,625,626,"Abordar, salir ;i la orilla",Vtécbeziin. N.,"Abordar, salir ;i la orilla. — Vtécbeziin. N.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000038,ORT1888-cand-000038,38,ORTEGA1888-TEPIC-IA,20,16,627,628,Aborrecer,"Haxéhvia, Neti.","Aborrecer. — Haxéhvia, Neti.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000039,ORT1888-cand-000039,39,ORTEGA1888-TEPIC-IA,20,16,629,630,Aborrecimiento,Haxelmviat.,Aborrecimiento. — Haxelmviat.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000040,ORT1888-cand-000040,40,ORTEGA1888-TEPIC-IA,20,16,631,632,Aborrecedor,Muhaxihvia.,Aborrecedor. — Muhaxihvia.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000041,ORT1888-cand-000041,41,ORTEGA1888-TEPIC-IA,20,16,633,634,Abortar,Ahee. Nete.,Abortar. — Ahee. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000042,ORT1888-cand-000042,42,ORTEGA1888-TEPIC-IA,20,16,635,640,Abortad ura,tal. A vial.,Abortad ura. — tal. A vial. | wim*,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000043,ORT1888-cand-000043,43,ORTEGA1888-TEPIC-IA,21,17,647,648,Abotonarse la flor,Aacáite.,Abotonarse la flor. — Aacáite.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000044,ORT1888-cand-000044,44,ORTEGA1888-TEPIC-IA,21,17,649,650,Abrazar á otro,Vicurechui. Neti.,Abrazar á otro. — Vicurechui. Neti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000045,ORT1888-cand-000045,45,ORTEGA1888-TEPIC-IA,21,17,651,652,Abrazarse dos,.Muicurá hitipu.,Abrazarse dos.— .Muicurá hitipu.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000046,ORT1888-cand-000046,46,ORTEGA1888-TEPIC-IA,21,17,653,654,Abrazarse de calor interior,Vpuzcheá. n.,Abrazarse de calor interior. — Vpuzcheá. n.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000047,ORT1888-cand-000047,47,ORTEGA1888-TEPIC-IA,21,17,655,656,Abrazarse de sol,Taixe. Ne.,Abrazarse de sol. — Taixe. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000048,ORT1888-cand-000048,48,ORTEGA1888-TEPIC-IA,21,17,657,658,Abrazarse con fuego,Huantaixe. Nataixe.,Abrazarse con fuego. — Huantaixe. Nataixe.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000049,ORT1888-cand-000049,49,ORTEGA1888-TEPIC-IA,21,17,659,660,Abrigado lugar,Namihua.,Abrigado lugar. — Namihua.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000050,ORT1888-cand-000050,50,ORTEGA1888-TEPIC-IA,21,17,661,662,Abrigar ;í otro con ropa,Baña. Nete.,Abrigar ;í otro con ropa. — Baña. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000051,ORT1888-cand-000051,51,ORTEGA1888-TEPIC-IA,21,17,663,665,Abrigarse para defenderse del viento,Huateavihcatacá.,Abrigarse para defenderse del viento. — Huateavihcatacá. | Natenihcatacá.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000052,ORT1888-cand-000052,52,ORTEGA1888-TEPIC-IA,21,17,666,667,Abrir como puerta,Antacü. Nete.,Abrir como puerta. — Antacü. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000053,ORT1888-cand-000053,53,ORTEGA1888-TEPIC-IA,21,17,668,668,Abrir como caja,-Anticú. Nete.,Abrir como caja. — -Anticú. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000054,ORT1888-cand-000054,54,ORTEGA1888-TEPIC-IA,21,17,669,670,Abril- la boca,Ácacuaxa. N.,Abril- la boca. — Ácacuaxa. N.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000055,ORT1888-cand-000055,55,ORTEGA1888-TEPIC-IA,21,17,671,672,Abrir como libro,A u tacú. Ne.,"Abrir como libro, — A u tacú. Ne.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000056,ORT1888-cand-000056,56,ORTEGA1888-TEPIC-IA,21,17,673,674,Abrir la mano,Atátva. Ne.,Abrir la mano. — Atátva. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000057,ORT1888-cand-000057,57,ORTEGA1888-TEPIC-IA,21,17,675,676,Abrir zanja 6 cimiento,Aeihché. Ne.,Abrir zanja 6 cimiento. — Aeihché. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000058,ORT1888-cand-000058,58,ORTEGA1888-TEPIC-IA,21,17,677,678,Abrochar,Ainuaíitéhua. Nea nautéhua.,Abrochar. — Ainuaíitéhua. Nea nautéhua.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000059,ORT1888-cand-000059,59,ORTEGA1888-TEPIC-IA,21,17,679,680,Abrojo,Tzicaréte.,Abrojo. — Tzicaréte.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000060,ORT1888-cand-000060,60,ORTEGA1888-TEPIC-IA,21,17,681,682,Abstenerse,Tapoaketaeá. Neteu.,Abstenerse. — Tapoaketaeá. Neteu.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000061,ORT1888-cand-000061,61,ORTEGA1888-TEPIC-IA,21,17,683,684,Abuela,Tiyácuari. pl. tzi.,Abuela. — Tiyácuari. pl. tzi.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000062,ORT1888-cand-000062,62,ORTEGA1888-TEPIC-IA,21,17,685,686,Abuelo,Tiyaxú. pl tzi.,Abuelo. — Tiyaxú. pl tzi.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000063,ORT1888-cand-000063,63,ORTEGA1888-TEPIC-IA,21,17,687,688,Abundar en riquezas,Tipini. Ne.,Abundar en riquezas. — Tipini. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000064,ORT1888-cand-000064,64,ORTEGA1888-TEPIC-IA,21,17,689,690,"Abundar la gente, ó el ganado",Ampuéne. Acá. Iye.,"Abundar la gente, ó el ganado. — Ampuéne. Acá. Iye.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000065,ORT1888-cand-000065,65,ORTEGA1888-TEPIC-IA,21,17,691,692,Acabar la obra,Kete. Neteu.,Acabar la obra. — Kete. Neteu.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000066,ORT1888-cand-000066,66,ORTEGA1888-TEPIC-IA,21,17,693,694,Acabarse la cosí»,Huaxé*.,Acabarse la cosí». — Huaxé*.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000067,ORT1888-cand-000067,67,ORTEGA1888-TEPIC-IA,21,17,695,696,Acabarse la vida,Vipuareca. N.,Acabarse la vida. — Vipuareca. N.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000068,ORT1888-cand-000068,68,ORTEGA1888-TEPIC-IA,21,17,697,698,A sacar agua del poso,"Atánehve, Ne.","A sacar agua del poso. — Atánehve, Ne.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000069,ORT1888-cand-000069,69,ORTEGA1888-TEPIC-IA,21,17,699,700,A cada paso,Iya puche.,A cada paso. — Iya puche.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000070,ORT1888-cand-000070,70,ORTEGA1888-TEPIC-IA,21,17,701,703,Acallar al que llora,Ihmoéa. Neti. Taih.-Moaéhri. Ne.,Acallar al que llora.— Ihmoéa. Neti. Taih.-Moaéhri. Ne. | ten.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000071,ORT1888-cand-000071,71,ORTEGA1888-TEPIC-IA,21,17,704,704,Acarrear,Atoatüeca. Nete.,Acarrear.— Atoatüeca. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000072,ORT1888-cand-000072,72,ORTEGA1888-TEPIC-IA,21,17,705,710,Acarrear de adentro á fuera,NVvátoah Nete.,Acarrear de adentro á fuera.— NVvátoah Nete. | y,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000073,ORT1888-cand-000073,73,ORTEGA1888-TEPIC-IA,22,18,714,715,Acarrear de afuera para adentro,Vitátoah. Nete.,Acarrear de afuera para adentro. — Vitátoah. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000074,ORT1888-cand-000074,74,ORTEGA1888-TEPIC-IA,22,18,716,717,Acarrear de lo alto ni suelo,Acátoah. Nete.,Acarrear de lo alto ni suelo. — Acátoah. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000075,ORT1888-cand-000075,75,ORTEGA1888-TEPIC-IA,22,18,718,719,Acarrear de abajo á lo alto,Antitoah. Nete.,Acarrear de abajo á lo alto. — Antitoah. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000076,ORT1888-cand-000076,76,ORTEGA1888-TEPIC-IA,22,18,720,721,Acarrear hacia arriba,Vtatoah. Nete.,Acarrear hacia arriba. — Vtatoah. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000077,ORT1888-cand-000077,77,ORTEGA1888-TEPIC-IA,22,18,722,723,Acarrear hacia abajo,Vhuátoah. Nete.,Acarrear hacia abajo. — Vhuátoah. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000078,ORT1888-cand-000078,78,ORTEGA1888-TEPIC-IA,22,18,724,725,Acarrear agua,Heiva. Ne.,Acarrear agua. — Heiva. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000079,ORT1888-cand-000079,79,ORTEGA1888-TEPIC-IA,22,18,726,727,"Acatar, tener respeto",Tzahuate. Nete.,"Acatar, tener respeto. — Tzahuate. Nete.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000080,ORT1888-cand-000080,80,ORTEGA1888-TEPIC-IA,22,18,728,730,"Acaudalarse, hacerse rijo",Huatahuázezt. Nuhuatancá-,"Acaudalarse, hacerse rijo. — Huatahuázezt. Nuhuatancá- | zezt.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000081,ORT1888-cand-000081,81,ORTEGA1888-TEPIC-IA,22,18,731,731,Acaudillar,Huáxehte. Ne.,Acaudillar. — Huáxehte. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000082,ORT1888-cand-000082,82,ORTEGA1888-TEPIC-IA,22,18,732,732,Acechar ó espiar,"Miiihin//*"". Neti.","Acechar ó espiar, — Miiihin//*"". Neti.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000083,ORT1888-cand-000083,83,ORTEGA1888-TEPIC-IA,22,18,733,733,"Acelerarse, darse prisa",Vivaba. Néniyéta.,"Acelerarse, darse prisa. — Vivaba. Néniyéta.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000084,ORT1888-cand-000084,84,ORTEGA1888-TEPIC-IA,22,18,734,734,Aceleramiento,Vi yeta t.,Aceleramiento. — Vi yeta t.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000085,ORT1888-cand-000085,85,ORTEGA1888-TEPIC-IA,22,18,735,735,Acepillar,Metné. Neti.,Acepillar.— Metné. Neti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000086,ORT1888-cand-000086,86,ORTEGA1888-TEPIC-IA,22,18,736,736,"Aceptar, petición",Xé'oe. Neti.,"Aceptar, petición. — Xé'oe. Neti.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000087,ORT1888-cand-000087,87,ORTEGA1888-TEPIC-IA,22,18,737,737,Azequia,Apoanti.,Azequia. — Apoanti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000088,ORT1888-cand-000088,88,ORTEGA1888-TEPIC-IA,22,18,738,738,Acercarse,Apuxeurizt Manúxeiirizt.,Acercarse ^— Apuxeurizt Manúxeiirizt.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000089,ORT1888-cand-000089,89,ORTEGA1888-TEPIC-IA,22,18,739,739,Acertar al blanco,Ahv/¿otoa. Nahiiautoa.,Acertar al blanco. — Ahv/¿otoa. Nahiiautoa.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000090,ORT1888-cand-000090,90,ORTEGA1888-TEPIC-IA,22,18,740,740,Acezar. r,Yaxuhpua. Ni. Yateu«¿\ Ni. Ye. Ni.,Acezar. r— Yaxuhpua. Ni. Yateu«¿\ Ni. Ye. Ni.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000091,ORT1888-cand-000091,91,ORTEGA1888-TEPIC-IA,22,18,741,741,"Acerrar, cortar con sierra",Ntizizchizt. Nete.,"Acerrar, cortar con sierra. — Ntizizchizt. Nete.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000092,ORT1888-cand-000092,92,ORTEGA1888-TEPIC-IA,22,18,742,742,"Aclarar el tiempo, r",Man xé.,"Aclarar el tiempo, r— Man xé.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000093,ORT1888-cand-000093,93,ORTEGA1888-TEPIC-IA,22,18,743,743,Aclararse lo que está turbio,Huaohcácari.,Aclararse lo que está turbio. — Huaohcácari.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000094,ORT1888-cand-000094,94,ORTEGA1888-TEPIC-IA,22,18,744,744,Acocear á otro,Tachetzina. Neti.,Acocear á otro. — Tachetzina. Neti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000095,ORT1888-cand-000095,95,ORTEGA1888-TEPIC-IA,22,18,745,747,Acometer valerosamente al enemigo,Huatáhua Nata-,Acometer valerosamente al enemigo. — Huatáhua Nata- | nea.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000096,ORT1888-cand-000096,96,ORTEGA1888-TEPIC-IA,22,18,748,748,Acompañar á otro,Anta neáxcaca. Nete.,Acompañar á otro .-^ Anta neáxcaca. Nete.,hyphen_variant,matched_headword,medium,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000097,ORT1888-cand-000097,97,ORTEGA1888-TEPIC-IA,22,18,749,749,Aconsejar,^Hebe. Neti.,Aconsejar.— ^Hebe. Neti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000098,ORT1888-cand-000098,98,ORTEGA1888-TEPIC-IA,22,18,750,750,Acordarse,Vtamuarem/ea Nete.,Acordarse. —Vtamuarem/ea Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000099,ORT1888-cand-000099,99,ORTEGA1888-TEPIC-IA,22,18,751,751,Acostarse,Huateahuzemi. Nateahuizemi.,Acostarse. — Huateahuzemi. Nateahuizemi.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
