numeral_id,order,source_witness_id,source_path,source_appendix_line,semantic_series,spanish_expression_ocr,cora_expression_ocr,raw_line_ocr,separator_type,record_status,authority_status,human_verified
ORT1888-num-017,17,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,40,general_count,Cuarenta.,^Huxaci  xa  te  vi.  Huahpoatévi,Cuarenta.— ^Huxaci  xa  te  vi.  Huahpoatévi,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-018,18,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,42,general_count,Sesenta.,-Hurt^'catévi.,Sesenta.  — -Hurt^'catévi.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-019,19,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,44,general_count,"Ochenta,  r",Moacuatévi.,"Ochenta,  r—  Moacuatévi.",em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-020,20,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,46,general_count,Ciento.  ^,Anxutévi.,Ciento.  ^— Anxutévi.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-021,21,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,48,general_count,Dos  cientos.,Tnmoamntatevi.   apoan.  nnsutévi,Dos  cientos. — Tnmoamntatevi.   apoan.  nnsutévi,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-022,22,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,50,general_count,Cuatrocientos.,Ceitevi  té  vi.,Cuatrocientos. — Ceitevi  té  vi.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-023,23,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,63,frequency_count,Una  vez.,Cevix.  vel.  cóxu.,Una  vez.  — Cevix.  vel.  cóxu.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-024,24,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,65,frequency_count,Dos  veces,Huappoax.,Dos  veces. --Huappoax.,hyphen_variant,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-025,25,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,70,frequency_count,Diez  veces.,Taomamatax.  &.,Diez  veces. — Taomamatax.  &.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-026,26,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,75,animate_count,Dos.,Mahuahpoa.,Dos. — Mahuahpoa.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-027,27,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,76,animate_count,Tres',"sMahiuzM'ca. ;  y  así  los  demás,   anteponiendo   siem-","Tres'.-sMahiuzM'ca. ;  y  así  los  demás,   anteponiendo   siem-",hyphen_variant,machine_extracted_explicit_pair,machine_derived,False
