ID,Language_ID,Headword,Part_Of_Speech,Source,CHD_Candidate_ID,CHD_Source_Witness_ID,CHD_Source_PDF_Page,CHD_Source_Printed_Page,CHD_Source_OCR_Line_Start,CHD_Source_OCR_Line_End,CHD_Raw_Span_OCR,CHD_Separator_Type,CHD_Page_Alignment_Status,CHD_Extraction_Confidence,CHD_Machine_Status,CHD_Machine_Rationale,CHD_Authority_Status,CHD_Release_Eligible,CHD_Human_Verified
ORT1888-art-000021,spa,Abertura de la boca,,Ortega1888[16],ORT1888-cand-000021,ORTEGA1888-TEPIC-IA,20,16,593,594,Abertura de la boca. — Ancáeúne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000022,spa,Abertura de lo serrado,,Ortega1888[16],ORT1888-cand-000022,ORTEGA1888-TEPIC-IA,20,16,595,596,Abertura de lo serrado. — A.ntáruneat.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000023,spa,Abertura de la tierra,,Ortega1888[16],ORT1888-cand-000023,ORTEGA1888-TEPIC-IA,20,16,597,598,Abertura de la tierra. — Aca.ihrliihuatéme.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000024,spa,"Abismo, agua profunda",,Ortega1888[16],ORT1888-cand-000024,ORTEGA1888-TEPIC-IA,20,16,599,600,"Abismo, agua profunda. — Ateat>v/.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000025,spa,"Abismo, cosa profunda y baja",,Ortega1888[16],ORT1888-cand-000025,ORTEGA1888-TEPIC-IA,20,16,601,602,"Abismo, cosa profunda y baja. — Vhniuéye.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000026,spa,Abispa que hace su casa de iodo,,Ortega1888[16],ORT1888-cand-000026,ORTEGA1888-TEPIC-IA,20,16,603,604,Abispa que hace su casa de iodo. — UMiuái. pl. tzi.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000027,spa,Abispa grande y ponzoñosa,,Ortega1888[16],ORT1888-cand-000027,ORTEGA1888-TEPIC-IA,20,16,605,606,Abispa grande y ponzoñosa. — A^//\acat. pl. t/i.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000028,spa,Abivar á otro,,Ortega1888[16],ORT1888-cand-000028,ORTEGA1888-TEPIC-IA,20,16,607,608,Abivar á otro. — Tuca. Neti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000029,spa,Ablandar Jo que está duro como barro,,Ortega1888[16],ORT1888-cand-000029,ORTEGA1888-TEPIC-IA,20,16,609,610,Ablandar Jo que está duro como barro. -Putna. Neti.,hyphen_variant,matched_headword,medium,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000030,spa,Ablandar el corazón,,Ortega1888[16],ORT1888-cand-000030,ORTEGA1888-TEPIC-IA,20,16,611,612,Ablandar el corazón. — Vcácnane. N.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000031,spa,Abofetear,,Ortega1888[16],ORT1888-cand-000031,ORTEGA1888-TEPIC-IA,20,16,613,614,Abofetear. — Vitebéchexe. Neti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000032,spa,Aboreteador,,Ortega1888[16],ORT1888-cand-000032,ORTEGA1888-TEPIC-IA,20,16,615,616,Aboreteador. — Tibeite becheme pl. tzi.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000033,spa,Abogar por otro,,Ortega1888[16],ORT1888-cand-000033,ORTEGA1888-TEPIC-IA,20,16,617,618,Abogar por otro. — Muecube. Netiucube.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000034,spa,Abogada,,Ortega1888[16],ORT1888-cand-000034,ORTEGA1888-TEPIC-IA,20,16,619,620,Abogada. — Cubihat.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000035,spa,Abogado,,Ortega1888[16],ORT1888-cand-000035,ORTEGA1888-TEPIC-IA,20,16,621,622,Abogado. — Hucabihuáme. pl. tzi.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000036,spa,Abollar,,Ortega1888[16],ORT1888-cand-000036,ORTEGA1888-TEPIC-IA,20,16,623,624,Abollar. — Teáutze. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000037,spa,"Abordar, salir ;i la orilla",,Ortega1888[16],ORT1888-cand-000037,ORTEGA1888-TEPIC-IA,20,16,625,626,"Abordar, salir ;i la orilla. — Vtécbeziin. N.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000038,spa,Aborrecer,,Ortega1888[16],ORT1888-cand-000038,ORTEGA1888-TEPIC-IA,20,16,627,628,"Aborrecer. — Haxéhvia, Neti.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000039,spa,Aborrecimiento,,Ortega1888[16],ORT1888-cand-000039,ORTEGA1888-TEPIC-IA,20,16,629,630,Aborrecimiento. — Haxelmviat.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000040,spa,Aborrecedor,,Ortega1888[16],ORT1888-cand-000040,ORTEGA1888-TEPIC-IA,20,16,631,632,Aborrecedor. — Muhaxihvia.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000041,spa,Abortar,,Ortega1888[16],ORT1888-cand-000041,ORTEGA1888-TEPIC-IA,20,16,633,634,Abortar. — Ahee. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000042,spa,Abortad ura,,Ortega1888[16],ORT1888-cand-000042,ORTEGA1888-TEPIC-IA,20,16,635,640,Abortad ura. — tal. A vial. | wim*,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000043,spa,Abotonarse la flor,,Ortega1888[17],ORT1888-cand-000043,ORTEGA1888-TEPIC-IA,21,17,647,648,Abotonarse la flor. — Aacáite.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000044,spa,Abrazar á otro,,Ortega1888[17],ORT1888-cand-000044,ORTEGA1888-TEPIC-IA,21,17,649,650,Abrazar á otro. — Vicurechui. Neti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000045,spa,Abrazarse dos,,Ortega1888[17],ORT1888-cand-000045,ORTEGA1888-TEPIC-IA,21,17,651,652,Abrazarse dos.— .Muicurá hitipu.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000046,spa,Abrazarse de calor interior,,Ortega1888[17],ORT1888-cand-000046,ORTEGA1888-TEPIC-IA,21,17,653,654,Abrazarse de calor interior. — Vpuzcheá. n.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000047,spa,Abrazarse de sol,,Ortega1888[17],ORT1888-cand-000047,ORTEGA1888-TEPIC-IA,21,17,655,656,Abrazarse de sol. — Taixe. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000048,spa,Abrazarse con fuego,,Ortega1888[17],ORT1888-cand-000048,ORTEGA1888-TEPIC-IA,21,17,657,658,Abrazarse con fuego. — Huantaixe. Nataixe.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000049,spa,Abrigado lugar,,Ortega1888[17],ORT1888-cand-000049,ORTEGA1888-TEPIC-IA,21,17,659,660,Abrigado lugar. — Namihua.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000050,spa,Abrigar ;í otro con ropa,,Ortega1888[17],ORT1888-cand-000050,ORTEGA1888-TEPIC-IA,21,17,661,662,Abrigar ;í otro con ropa. — Baña. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000051,spa,Abrigarse para defenderse del viento,,Ortega1888[17],ORT1888-cand-000051,ORTEGA1888-TEPIC-IA,21,17,663,665,Abrigarse para defenderse del viento. — Huateavihcatacá. | Natenihcatacá.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000052,spa,Abrir como puerta,,Ortega1888[17],ORT1888-cand-000052,ORTEGA1888-TEPIC-IA,21,17,666,667,Abrir como puerta. — Antacü. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000053,spa,Abrir como caja,,Ortega1888[17],ORT1888-cand-000053,ORTEGA1888-TEPIC-IA,21,17,668,668,Abrir como caja. — -Anticú. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000054,spa,Abril- la boca,,Ortega1888[17],ORT1888-cand-000054,ORTEGA1888-TEPIC-IA,21,17,669,670,Abril- la boca. — Ácacuaxa. N.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000055,spa,Abrir como libro,,Ortega1888[17],ORT1888-cand-000055,ORTEGA1888-TEPIC-IA,21,17,671,672,"Abrir como libro, — A u tacú. Ne.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000056,spa,Abrir la mano,,Ortega1888[17],ORT1888-cand-000056,ORTEGA1888-TEPIC-IA,21,17,673,674,Abrir la mano. — Atátva. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000057,spa,Abrir zanja 6 cimiento,,Ortega1888[17],ORT1888-cand-000057,ORTEGA1888-TEPIC-IA,21,17,675,676,Abrir zanja 6 cimiento. — Aeihché. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000058,spa,Abrochar,,Ortega1888[17],ORT1888-cand-000058,ORTEGA1888-TEPIC-IA,21,17,677,678,Abrochar. — Ainuaíitéhua. Nea nautéhua.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000059,spa,Abrojo,,Ortega1888[17],ORT1888-cand-000059,ORTEGA1888-TEPIC-IA,21,17,679,680,Abrojo. — Tzicaréte.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000060,spa,Abstenerse,,Ortega1888[17],ORT1888-cand-000060,ORTEGA1888-TEPIC-IA,21,17,681,682,Abstenerse. — Tapoaketaeá. Neteu.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000061,spa,Abuela,,Ortega1888[17],ORT1888-cand-000061,ORTEGA1888-TEPIC-IA,21,17,683,684,Abuela. — Tiyácuari. pl. tzi.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000062,spa,Abuelo,,Ortega1888[17],ORT1888-cand-000062,ORTEGA1888-TEPIC-IA,21,17,685,686,Abuelo. — Tiyaxú. pl tzi.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000063,spa,Abundar en riquezas,,Ortega1888[17],ORT1888-cand-000063,ORTEGA1888-TEPIC-IA,21,17,687,688,Abundar en riquezas. — Tipini. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000064,spa,"Abundar la gente, ó el ganado",,Ortega1888[17],ORT1888-cand-000064,ORTEGA1888-TEPIC-IA,21,17,689,690,"Abundar la gente, ó el ganado. — Ampuéne. Acá. Iye.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000065,spa,Acabar la obra,,Ortega1888[17],ORT1888-cand-000065,ORTEGA1888-TEPIC-IA,21,17,691,692,Acabar la obra. — Kete. Neteu.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000066,spa,Acabarse la cosí»,,Ortega1888[17],ORT1888-cand-000066,ORTEGA1888-TEPIC-IA,21,17,693,694,Acabarse la cosí». — Huaxé*.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000067,spa,Acabarse la vida,,Ortega1888[17],ORT1888-cand-000067,ORTEGA1888-TEPIC-IA,21,17,695,696,Acabarse la vida. — Vipuareca. N.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000068,spa,A sacar agua del poso,,Ortega1888[17],ORT1888-cand-000068,ORTEGA1888-TEPIC-IA,21,17,697,698,"A sacar agua del poso. — Atánehve, Ne.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000069,spa,A cada paso,,Ortega1888[17],ORT1888-cand-000069,ORTEGA1888-TEPIC-IA,21,17,699,700,A cada paso. — Iya puche.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000070,spa,Acallar al que llora,,Ortega1888[17],ORT1888-cand-000070,ORTEGA1888-TEPIC-IA,21,17,701,703,Acallar al que llora.— Ihmoéa. Neti. Taih.-Moaéhri. Ne. | ten.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000071,spa,Acarrear,,Ortega1888[17],ORT1888-cand-000071,ORTEGA1888-TEPIC-IA,21,17,704,704,Acarrear.— Atoatüeca. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000072,spa,Acarrear de adentro á fuera,,Ortega1888[17],ORT1888-cand-000072,ORTEGA1888-TEPIC-IA,21,17,705,710,Acarrear de adentro á fuera.— NVvátoah Nete. | y,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000073,spa,Acarrear de afuera para adentro,,Ortega1888[18],ORT1888-cand-000073,ORTEGA1888-TEPIC-IA,22,18,714,715,Acarrear de afuera para adentro. — Vitátoah. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000074,spa,Acarrear de lo alto ni suelo,,Ortega1888[18],ORT1888-cand-000074,ORTEGA1888-TEPIC-IA,22,18,716,717,Acarrear de lo alto ni suelo. — Acátoah. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000075,spa,Acarrear de abajo á lo alto,,Ortega1888[18],ORT1888-cand-000075,ORTEGA1888-TEPIC-IA,22,18,718,719,Acarrear de abajo á lo alto. — Antitoah. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000076,spa,Acarrear hacia arriba,,Ortega1888[18],ORT1888-cand-000076,ORTEGA1888-TEPIC-IA,22,18,720,721,Acarrear hacia arriba. — Vtatoah. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000077,spa,Acarrear hacia abajo,,Ortega1888[18],ORT1888-cand-000077,ORTEGA1888-TEPIC-IA,22,18,722,723,Acarrear hacia abajo. — Vhuátoah. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000078,spa,Acarrear agua,,Ortega1888[18],ORT1888-cand-000078,ORTEGA1888-TEPIC-IA,22,18,724,725,Acarrear agua. — Heiva. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000079,spa,"Acatar, tener respeto",,Ortega1888[18],ORT1888-cand-000079,ORTEGA1888-TEPIC-IA,22,18,726,727,"Acatar, tener respeto. — Tzahuate. Nete.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000080,spa,"Acaudalarse, hacerse rijo",,Ortega1888[18],ORT1888-cand-000080,ORTEGA1888-TEPIC-IA,22,18,728,730,"Acaudalarse, hacerse rijo. — Huatahuázezt. Nuhuatancá- | zezt.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000081,spa,Acaudillar,,Ortega1888[18],ORT1888-cand-000081,ORTEGA1888-TEPIC-IA,22,18,731,731,Acaudillar. — Huáxehte. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000082,spa,Acechar ó espiar,,Ortega1888[18],ORT1888-cand-000082,ORTEGA1888-TEPIC-IA,22,18,732,732,"Acechar ó espiar, — Miiihin//*"". Neti.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000083,spa,"Acelerarse, darse prisa",,Ortega1888[18],ORT1888-cand-000083,ORTEGA1888-TEPIC-IA,22,18,733,733,"Acelerarse, darse prisa. — Vivaba. Néniyéta.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000084,spa,Aceleramiento,,Ortega1888[18],ORT1888-cand-000084,ORTEGA1888-TEPIC-IA,22,18,734,734,Aceleramiento. — Vi yeta t.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000085,spa,Acepillar,,Ortega1888[18],ORT1888-cand-000085,ORTEGA1888-TEPIC-IA,22,18,735,735,Acepillar.— Metné. Neti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000086,spa,"Aceptar, petición",,Ortega1888[18],ORT1888-cand-000086,ORTEGA1888-TEPIC-IA,22,18,736,736,"Aceptar, petición. — Xé'oe. Neti.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000087,spa,Azequia,,Ortega1888[18],ORT1888-cand-000087,ORTEGA1888-TEPIC-IA,22,18,737,737,Azequia. — Apoanti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000088,spa,Acercarse,,Ortega1888[18],ORT1888-cand-000088,ORTEGA1888-TEPIC-IA,22,18,738,738,Acercarse ^— Apuxeurizt Manúxeiirizt.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000089,spa,Acertar al blanco,,Ortega1888[18],ORT1888-cand-000089,ORTEGA1888-TEPIC-IA,22,18,739,739,Acertar al blanco. — Ahv/¿otoa. Nahiiautoa.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000090,spa,Acezar. r,,Ortega1888[18],ORT1888-cand-000090,ORTEGA1888-TEPIC-IA,22,18,740,740,Acezar. r— Yaxuhpua. Ni. Yateu«¿\ Ni. Ye. Ni.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000091,spa,"Acerrar, cortar con sierra",,Ortega1888[18],ORT1888-cand-000091,ORTEGA1888-TEPIC-IA,22,18,741,741,"Acerrar, cortar con sierra. — Ntizizchizt. Nete.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000092,spa,"Aclarar el tiempo, r",,Ortega1888[18],ORT1888-cand-000092,ORTEGA1888-TEPIC-IA,22,18,742,742,"Aclarar el tiempo, r— Man xé.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000093,spa,Aclararse lo que está turbio,,Ortega1888[18],ORT1888-cand-000093,ORTEGA1888-TEPIC-IA,22,18,743,743,Aclararse lo que está turbio. — Huaohcácari.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000094,spa,Acocear á otro,,Ortega1888[18],ORT1888-cand-000094,ORTEGA1888-TEPIC-IA,22,18,744,744,Acocear á otro. — Tachetzina. Neti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000095,spa,Acometer valerosamente al enemigo,,Ortega1888[18],ORT1888-cand-000095,ORTEGA1888-TEPIC-IA,22,18,745,747,Acometer valerosamente al enemigo. — Huatáhua Nata- | nea.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000096,spa,Acompañar á otro,,Ortega1888[18],ORT1888-cand-000096,ORTEGA1888-TEPIC-IA,22,18,748,748,Acompañar á otro .-^ Anta neáxcaca. Nete.,hyphen_variant,matched_headword,medium,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000097,spa,Aconsejar,,Ortega1888[18],ORT1888-cand-000097,ORTEGA1888-TEPIC-IA,22,18,749,749,Aconsejar.— ^Hebe. Neti.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000098,spa,Acordarse,,Ortega1888[18],ORT1888-cand-000098,ORTEGA1888-TEPIC-IA,22,18,750,750,Acordarse. —Vtamuarem/ea Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
